id_distrito,nombre_distrito,poblacion,anno,fuente
1,Ciutat Vella,25546,2022,Padrón municipal — Ayuntamiento de València
2,l'Eixample,45131,2022,Padrón municipal — Ayuntamiento de València
3,Extramurs,50686,2022,Padrón municipal — Ayuntamiento de València
4,Campanar,34708,2022,Padrón municipal — Ayuntamiento de València
5,la Saïdia,50191,2022,Padrón municipal — Ayuntamiento de València
6,el Pla del Real,31616,2022,Padrón municipal — Ayuntamiento de València
7,l'Olivereta,50581,2022,Padrón municipal — Ayuntamiento de València
8,Patraix,59441,2022,Padrón municipal — Ayuntamiento de València
9,Jesús,53819,2022,Padrón municipal — Ayuntamiento de València
10,Quatre Carreres,75274,2022,Padrón municipal — Ayuntamiento de València
11,Poblats Marítims,59489,2022,Padrón municipal — Ayuntamiento de València
12,Camins al Grau,63372,2022,Padrón municipal — Ayuntamiento de València
13,Algirós,41781,2022,Padrón municipal — Ayuntamiento de València
14,Benimaclet,31062,2022,Padrón municipal — Ayuntamiento de València
15,Rascanya,51860,2022,Padrón municipal — Ayuntamiento de València
16,Benicalap,42607,2022,Padrón municipal — Ayuntamiento de València
17,Pobles del Nord,6104,2022,Padrón municipal — Ayuntamiento de València
18,Pobles de l'Oest,13841,2022,Padrón municipal — Ayuntamiento de València
19,Pobles del Sud,20287,2022,Padrón municipal — Ayuntamiento de València
