tema_id,tema,n_propuestas,n_apoyos,n_seleccionadas
36,Sin clasificar,1056,31032,112
7,Carriles bici y movilidad ciclista,451,20799,50
2,Aceras y movilidad peatonal,328,7744,37
23,Parques y plazas,307,10473,39
24,Pedanías y barrios periféricos,296,9473,24
25,Pipicanes y zonas caninas,240,6824,19
37,Solares y suelo disponible,209,9574,31
3,Aparcamiento para vehículos,186,4102,15
11,Convivencia y mobiliario urbano,178,5145,10
16,Instalaciones deportivas,166,9878,24
8,Centros cívicos y huertos urbanos,153,4595,7
27,Recogida de residuos,148,4769,22
22,Parques infantiles,131,3842,18
15,Iluminación pública,130,3244,22
17,Jardines y arbolado,121,4096,13
20,Pacificación del tráfico,90,3232,19
10,Centros educativos,87,4014,12
30,Rehabilitación de mercados,74,2968,3
34,Río Turia y litoral,71,3243,7
14,Fuentes y aseos públicos,67,2351,21
9,Centros de salud,63,2186,3
5,Bibliotecas y ludotecas,61,2805,18
35,Seguridad ciudadana,59,2240,2
33,Reurbanización de calles,58,1275,4
21,Paneles informativos,51,1121,5
29,Reducción del ruido,48,1383,5
12,Equipamientos culturales,45,1736,5
18,Litoral y puerto,45,1525,1
31,Rehabilitación del patrimonio,42,1815,4
4,Asfalto y pavimentación,42,959,3
32,Repavimentación de calzadas,41,731,5
6,Bienestar animal,37,2942,13
38,Transporte público (EMT),34,1702,0
1,Accesibilidad peatonal,33,787,10
26,Puentes y vías peatonales,31,1165,2
13,Equipamientos específicos,29,1005,2
19,Mobiliario urbano deportivo,26,1107,8
39,Zonas verdes,26,1362,5
28,Reducción de velocidad y zonas 30,25,340,1
